Date,TSLA_Open,TSLA_High,TSLA_Low,TSLA_Close,TSLA_Adj Close,TSLA_Volume,^IXIC_Open,^IXIC_High,^IXIC_Low,^IXIC_Close,^IXIC_Adj Close,^IXIC_Volume,^GSPC_Open,^GSPC_High,^GSPC_Low,^GSPC_Close,^GSPC_Adj Close,^GSPC_Volume,Automotive sales,Total revenues,Net loss,Cash and cash equivalents,Long-term debt,
6/29/2010,19,25,17.540001,23.889999,23.889999,18766300,2183.919922,2185.300049,2122.669922,2135.179932,2135.179932,2827090000,1071.099976,1071.099976,1035.180054,1041.23999,1041.23999,6136700000,39028,58171,-358903,22488,134177,
6/30/2010,25.790001,30.42,23.299999,23.83,23.83,17187100,2134.030029,2153.360107,2105.26001,2109.23999,2109.23999,2221560000,1040.560059,1048.079956,1028.329956,1030.709961,1030.709961,5067080000,39028,58171,-358903,22488,134177,
7/1/2010,25,25.92,20.27,21.959999,21.959999,8218800,2110.75,2117.939941,2061.139893,2101.360107,2101.360107,2717070000,1031.099976,1033.579956,1010.909973,1027.369995,1027.369995,6435770000,39028,58171,-358903,22488,134177,
7/2/2010,23,23.1,18.709999,19.200001,19.200001,5139800,2105.5,2110.659912,2077.709961,2091.790039,2091.790039,1672320000,1027.650024,1032.949951,1015.929993,1022.580017,1022.580017,3968500000,39028,58171,-358903,22488,134177,
7/6/2010,20,20,15.83,16.110001,16.110001,6866900,2122.280029,2136.300049,2077.77002,2093.879883,2093.879883,2173030000,1028.089966,1042.5,1018.349976,1028.060059,1028.060059,4691240000,39028,58171,-358903,22488,134177,
7/7/2010,16.4,16.629999,14.98,15.8,15.8,6921700,2099.659912,2159.790039,2098.110107,2159.469971,2159.469971,2199500000,1028.540039,1060.890015,1028.540039,1060.27002,1060.27002,4931220000,39028,58171,-358903,22488,134177,
7/8/2010,16.139999,17.52,15.57,17.459999,17.459999,7711400,2174.959961,2181.300049,2150.189941,2175.399902,2175.399902,2034030000,1062.920044,1071.25,1058.23999,1070.25,1070.25,4548460000,39028,58171,-358903,22488,134177,
7/9/2010,17.58,17.9,16.549999,17.4,17.4,4050600,2174.199951,2196.949951,2170.76001,2196.449951,2196.449951,1592610000,1070.5,1078.160034,1068.099976,1077.959961,1077.959961,3506570000,39028,58171,-358903,22488,134177,
7/12/2010,17.950001,18.07,17,17.049999,17.049999,2202500,2194.120117,2213.389893,2183.52002,2198.360107,2198.360107,1767970000,1077.22998,1080.780029,1070.449951,1078.75,1078.75,3426990000,39028,58171,-358903,22488,134177,
7/13/2010,17.389999,18.639999,16.9,18.139999,18.139999,2680100,2221.25,2248.159912,2212.969971,2242.030029,2242.030029,2278480000,1080.650024,1099.459961,1080.650024,1095.339966,1095.339966,4640460000,39028,58171,-358903,22488,134177,
7/14/2010,17.940001,20.15,17.76,19.84,19.84,4195200,2246.98999,2260.330078,2235.149902,2249.840088,2249.840088,2213010000,1095.609985,1099.079956,1087.680054,1095.170044,1095.170044,4521050000,39028,58171,-358903,22488,134177,
7/15/2010,19.940001,21.5,19,19.889999,19.889999,3739800,2247.76001,2253.330078,2218.919922,2249.080078,2249.080078,2011600000,1094.459961,1098.660034,1080.530029,1096.47998,1096.47998,4552470000,39028,58171,-358903,22488,134177,
7/16/2010,20.700001,21.299999,20.049999,20.639999,20.639999,2621300,2231.709961,2236.659912,2177.51001,2179.050049,2179.050049,2195150000,1093.849976,1093.849976,1063.319946,1064.880005,1064.880005,5297350000,39028,58171,-358903,22488,134177,
7/19/2010,21.370001,22.25,20.92,21.91,21.91,2486500,2185.810059,2201.290039,2171.199951,2198.22998,2198.22998,1735090000,1066.849976,1074.699951,1061.109985,1071.25,1071.25,4089500000,39028,58171,-358903,22488,134177,
7/20/2010,21.85,21.85,20.049999,20.299999,20.299999,1825300,2165.350098,2222.610107,2159.949951,2222.48999,2222.48999,1933270000,1064.530029,1083.939941,1056.880005,1083.47998,1083.47998,4713280000,39028,58171,-358903,22488,134177,
7/21/2010,20.66,20.9,19.5,20.219999,20.219999,1252500,2236.129883,2236.370117,2183.219971,2187.330078,2187.330078,2222030000,1086.670044,1088.959961,1065.25,1069.589966,1069.589966,4747180000,39028,58171,-358903,22488,134177,
7/22/2010,20.5,21.25,20.370001,21,21,957800,2216.040039,2251.419922,2216.040039,2245.889893,2245.889893,2213220000,1072.140015,1097.5,1072.140015,1093.670044,1093.670044,4826900000,39028,58171,-358903,22488,134177,
7/23/2010,21.190001,21.559999,21.059999,21.290001,21.290001,653600,2234.340088,2269.469971,2227.5,2269.469971,2269.469971,2410600000,1092.170044,1103.72998,1087.880005,1102.660034,1102.660034,4524570000,39028,58171,-358903,22488,134177,
7/26/2010,21.5,21.5,20.299999,20.950001,20.950001,922200,2271.620117,2296.429932,2262.959961,2296.429932,2296.429932,2164280000,1102.890015,1115.01001,1101.300049,1115.01001,1115.01001,4009650000,39028,58171,-358903,22488,134177,
7/27/2010,20.91,21.18,20.26,20.549999,20.549999,619700,2306.620117,2307.600098,2280.719971,2288.25,2288.25,2065390000,1117.359985,1120.949951,1109.780029,1113.839966,1113.839966,4725690000,39028,58171,-358903,22488,134177,
7/28/2010,20.549999,20.9,20.51,20.719999,20.719999,467200,2284.620117,2292.23999,2257.76001,2264.560059,2264.560059,1848520000,1112.839966,1114.660034,1103.109985,1106.130005,1106.130005,4002390000,39028,58171,-358903,22488,134177,
7/29/2010,20.77,20.879999,20,20.35,20.35,616000,2279.070068,2282.939941,2228.52002,2251.689941,2251.689941,2324590000,1108.069946,1115.900024,1092.819946,1101.530029,1101.530029,4612420000,39028,58171,-358903,22488,134177,
7/30/2010,20.200001,20.440001,19.549999,19.940001,19.940001,426900,2227.290039,2264.810059,2218.610107,2254.699951,2254.699951,2138610000,1098.439941,1106.439941,1088.01001,1101.599976,1101.599976,4006450000,39028,58171,-358903,22488,134177,
8/2/2010,20.5,20.969999,20.33,20.92,20.92,718100,2283.320068,2299.23999,2274.27002,2295.360107,2295.360107,1953200000,1107.530029,1127.300049,1107.530029,1125.859985,1125.859985,4144180000,39028,58171,-358903,22488,134177,
8/3/2010,21,21.950001,20.82,21.950001,21.950001,1230500,2291.75,2295.030029,2272.330078,2283.52002,2283.52002,1997030000,1125.339966,1125.439941,1116.76001,1120.459961,1120.459961,4071820000,39028,58171,-358903,22488,134177,
8/4/2010,21.950001,22.18,20.85,21.26,21.26,913000,2291.090088,2305.070068,2283.209961,2303.570068,2303.570068,2021980000,1121.060059,1128.75,1119.459961,1127.23999,1127.23999,4057850000,39028,58171,-358903,22488,134177,
8/5/2010,21.540001,21.549999,20.049999,20.450001,20.450001,796200,2291.219971,2298.860107,2281.679932,2293.060059,2293.060059,1774300000,1125.780029,1126.560059,1118.810059,1125.810059,1125.810059,3685560000,39028,58171,-358903,22488,134177,
8/6/2010,20.1,20.16,19.52,19.59,19.59,741900,2267.419922,2291.149902,2253.919922,2288.469971,2288.469971,1876630000,1122.069946,1123.060059,1107.170044,1121.640015,1121.640015,3857890000,39028,58171,-358903,22488,134177,
8/9/2010,19.9,19.98,19.450001,19.6,19.6,812700,2298.810059,2309.429932,2289.030029,2305.689941,2305.689941,1614580000,1122.800049,1129.23999,1120.910034,1127.790039,1127.790039,3979360000,39028,58171,-358903,22488,134177,
8/10/2010,19.65,19.65,18.82,19.030001,19.030001,1281300,2280.060059,2290.51001,2261.5,2277.169922,2277.169922,2039590000,1122.920044,1127.160034,1111.579956,1121.060059,1121.060059,3979360000,39028,58171,-358903,22488,134177,
8/11/2010,18.690001,18.879999,17.85,17.9,17.9,797600,2236.929932,2236.929932,2204.939941,2208.629883,2208.629883,2274460000,1116.890015,1116.890015,1088.550049,1089.469971,1089.469971,4511860000,39028,58171,-358903,22488,134177,
8/12/2010,17.799999,17.9,17.389999,17.6,17.6,691000,2164.639893,2197.969971,2163.070068,2190.27002,2190.27002,2189680000,1081.47998,1086.719971,1076.689941,1083.609985,1083.609985,4521050000,39028,58171,-358903,22488,134177,
8/13/2010,18.18,18.450001,17.66,18.32,18.32,634000,2183.090088,2190.27002,2173.47998,2173.47998,2173.47998,1605040000,1082.219971,1086.25,1079,1079.25,1079.25,3328890000,39028,58171,-358903,22488,134177,
